latitude,longitude,elev,ilplat,ilplng,iso
-17.3992,145.8183,5322,-9.9017,148.6033,882.4455
7.3292,0.7092,3248,7.7675,-7.2408,878.6954
9.4842,-83.4892,12530,6.4592,-76.1308,877.4319
54.7550,-163.9708,9414,60.0292,-153.0958,877.0384
-4.6775,-174.5358,78,-8.0642,178.3750,869.0394
7.5900,134.5883,794,2.4933,128.6617,865.6103
-31.5033,138.5508,3832,-26.2975,131.9992,860.5743
19.2983,166.6467,45,11.6350,165.5342,856.3267
16.7358,-169.5233,65,23.7692,-166.2600,849.8983
-1.4675,-78.8175,20561,-9.0267,-77.6633,845.6430
0.3858,29.8733,16762,-0.1525,37.3083,829.7936
-26.3600,-79.8983,1572,-33.6125,-78.8625,810.1378
42.1800,23.5850,9596,36.5467,29.5675,810.0886
43.6633,142.8542,7516,36.9558,139.2892,803.8904
58.8875,-63.7100,5420,65.9883,-63.9133,791.4722
75.5633,111.0692,3760,69.8200,97.4867,779.7921
35.3183,6.6367,7638,42.0592,9.1333,779.0912
-8.9075,125.4942,9721,-3.1750,129.4525,770.5390
67.9008,18.5167,6909,62.3225,9.2800,756.6713
29.5117,57.2717,14764,32.3675,50.0867,755.8732
3.7975,97.2192,11371,-1.6925,101.2575,755.2324
-5.9050,154.9950,8907,-10.0342,149.5717,752.2556
81.9150,-75.0092,8583,77.2825,-47.0092,751.5455
-68.8350,-90.6175,5381,-69.2683,-71.8433,747.9902
-29.0117,167.9425,1047,-22.3758,166.7817,744.3054
79.0108,17.4908,5620,80.4325,-19.6858,743.7043
-17.4358,127.2367,3222,-21.8167,132.5767,740.7299
56.7967,-5.0033,4409,60.0058,6.0767,738.6106
-49.6842,178.7808,1201,-45.8625,170.7117,738.4930
61.8933,171.1858,8406,57.9217,160.6775,734.4625
-18.1083,-68.8833,21486,-24.7167,-68.5383,732.5679
7.3408,151.6233,1453,6.9100,158.1792,725.7496
6.8258,39.8175,14436,13.2050,38.3475,723.7373
67.8175,178.2942,6194,62.0900,171.0408,723.6619
-58.4408,-26.3292,4511,-54.7733,-35.9958,719.4813
15.0433,-91.9033,13845,19.0183,-97.2467,719.0093
64.0142,-16.6775,6923,69.0008,-26.8383,714.8781
29.6325,95.0542,25531,27.6867,88.1667,706.8451
47.8975,-90.5608,2301,47.3125,-99.8817,703.4396
-9.7033,160.0617,7661,-5.9425,155.0167,694.5979
-44.1242,-176.5833,967,-41.2108,175.9283,693.5878
-3.1733,129.4550,9931,-3.9292,135.5508,682.4203
-3.3850,120.0242,11411,-8.4100,116.4633,681.2961
